notebook_title,count_context,context,average_context
Notizbuch A9,1,.//tei:abstract,1.0
Notizbuch A8,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
Notizbuch A8,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch A8,151,.//tei:sourceDoc//tei:surface,1.0
Notizbuch A8,45,.//tei:sourceDoc//tei:add,1.0
Notizbuch A8,190,.//tei:sourceDoc//tei:zone,1.0
Notizbuch A8,1175,.//tei:sourceDoc//tei:line,1.0
Notizbuch A8,856,.//tei:sourceDoc//tei:seg,1.0
Notizbuch A8,1,.//tei:abstract,1.0
Notizbuch A14,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
Notizbuch A14,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch A14,198,.//tei:sourceDoc//tei:surface,1.0
Notizbuch A14,26,.//tei:sourceDoc//tei:add,1.0
Notizbuch A14,338,.//tei:sourceDoc//tei:zone,1.0
Notizbuch A14,619,.//tei:sourceDoc//tei:line,1.0
Notizbuch A14,348,.//tei:sourceDoc//tei:seg,1.0
Notizbuch A14,1,.//tei:abstract,1.0
Notizbuch A21,2,.//tei:sourceDoc//tei:note[@type='editorial'],4.5
Notizbuch A21,5,.//tei:sourceDoc//tei:note[@type='authorial'],10.6
Notizbuch A21,150,.//tei:sourceDoc//tei:surface,4.0
Notizbuch A21,91,.//tei:sourceDoc//tei:add,4.0
Notizbuch A21,386,.//tei:sourceDoc//tei:zone,4.0
Notizbuch A21,1639,.//tei:sourceDoc//tei:line,4.0
Notizbuch A21,1054,.//tei:sourceDoc//tei:seg,4.0
Notizbuch A21,1,.//tei:abstract,1.0
Notizbuch B1,35,.//tei:sourceDoc//tei:note[@type='editorial'],41.77
Notizbuch B1,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch B1,137,.//tei:sourceDoc//tei:surface,31.0
Notizbuch B1,54,.//tei:sourceDoc//tei:add,31.0
Notizbuch B1,343,.//tei:sourceDoc//tei:zone,31.0
Notizbuch B1,1695,.//tei:sourceDoc//tei:line,31.0
Notizbuch B1,887,.//tei:sourceDoc//tei:seg,31.0
Notizbuch B1,1,.//tei:abstract,2.0
Notizbuch B12,12,.//tei:sourceDoc//tei:note[@type='editorial'],14.08
Notizbuch B12,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch B12,136,.//tei:sourceDoc//tei:surface,31.0
Notizbuch B12,151,.//tei:sourceDoc//tei:add,31.0
Notizbuch B12,421,.//tei:sourceDoc//tei:zone,31.0
Notizbuch B12,1465,.//tei:sourceDoc//tei:line,31.0
Notizbuch B12,700,.//tei:sourceDoc//tei:seg,31.0
Notizbuch B12,1,.//tei:abstract,88.0
Notizbuch D3,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
Notizbuch D3,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch D3,133,.//tei:sourceDoc//tei:surface,88.0
Notizbuch D3,58,.//tei:sourceDoc//tei:add,88.0
Notizbuch D3,221,.//tei:sourceDoc//tei:zone,88.0
Notizbuch D3,999,.//tei:sourceDoc//tei:line,88.0
Notizbuch D3,590,.//tei:sourceDoc//tei:seg,88.0
Notizbuch D3,1,.//tei:abstract,77.0
Notizbuch C8,13,.//tei:sourceDoc//tei:note[@type='editorial'],25.85
Notizbuch C8,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch C8,166,.//tei:sourceDoc//tei:surface,31.0
Notizbuch C8,117,.//tei:sourceDoc//tei:add,31.0
Notizbuch C8,466,.//tei:sourceDoc//tei:zone,31.0
Notizbuch C8,3124,.//tei:sourceDoc//tei:line,31.0
Notizbuch C8,2436,.//tei:sourceDoc//tei:seg,31.0
Notizbuch C8,1,.//tei:abstract,2.0
Notizbuch D2,4,.//tei:sourceDoc//tei:note[@type='editorial'],1.0
Notizbuch D2,1,.//tei:sourceDoc//tei:note[@type='authorial'],5.0
Notizbuch D2,114,.//tei:sourceDoc//tei:surface,5.0
Notizbuch D2,98,.//tei:sourceDoc//tei:add,5.0
Notizbuch D2,290,.//tei:sourceDoc//tei:zone,5.0
Notizbuch D2,1730,.//tei:sourceDoc//tei:line,5.0
Notizbuch D2,1262,.//tei:sourceDoc//tei:seg,5.0
Notizbuch D2,1,.//tei:abstract,2.0
