filename,notebook_title,date_e,date_a,date_f,count_context,context,average_context
22jtp,Notizbuch A5,1862,,,636,.//tei:sourceDoc//tei:zone,3
22jtp,Notizbuch A5,1862,,,3173,.//tei:sourceDoc//tei:line,3
22jtp,Notizbuch A5,1862,,,1739,.//tei:sourceDoc//tei:seg,3
22jtp,Notizbuch A5,1862,,,1,.//tei:abstract,77
1zzf1,Notizbuch D10, ,1871,,1,.//tei:sourceDoc//tei:note[@type='editorial'],12
1zzf1,Notizbuch D10, ,1871,,3,.//tei:sourceDoc//tei:note[@type='authorial'],12
1zzf1,Notizbuch D10, ,1871,,101,.//tei:sourceDoc//tei:surface,14
1zzf1,Notizbuch D10, ,1871,,120,.//tei:sourceDoc//tei:add,14
1zzf1,Notizbuch D10, ,1871,,258,.//tei:sourceDoc//tei:zone,14
1zzf1,Notizbuch D10, ,1871,,1232,.//tei:sourceDoc//tei:line,14
1zzf1,Notizbuch D10, ,1871,,842,.//tei:sourceDoc//tei:seg,14
1zzf1,Notizbuch D10, ,1871,,1,.//tei:abstract,2
16b00,Notizbuch C7,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
16b00,Notizbuch C7,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
16b00,Notizbuch C7,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,133,.//tei:sourceDoc//tei:surface,2
16b00,Notizbuch C7,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,16,.//tei:sourceDoc//tei:add,2
16b00,Notizbuch C7,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,152,.//tei:sourceDoc//tei:zone,2
16b00,Notizbuch C7,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,427,.//tei:sourceDoc//tei:line,2
16b00,Notizbuch C7,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,450,.//tei:sourceDoc//tei:seg,2
16b00,Notizbuch C7,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,1,.//tei:abstract,2
22jth,Notizbuch A20,1881-04-19 1881-04-23 1881-05-02 1881-05-03,,1881,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
22jth,Notizbuch A20,1881-04-19 1881-04-23 1881-05-02 1881-05-03,,1881,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
